composite,defagn,defstarform,galname
False,False,True,ECO00899
False,False,True,ECO00901
False,False,True,ECO00902
False,False,True,ECO00903
False,False,True,ECO00905
False,False,True,ECO00906
False,False,True,ECO00907
True,False,False,ECO00908
False,False,True,ECO00909
False,False,True,ECO00910
False,False,True,ECO00911
False,False,True,ECO00912
False,False,True,ECO00913
False,False,True,ECO00915
False,False,True,ECO00916
False,False,True,ECO00917
False,False,True,ECO00919
False,False,True,ECO00920
False,False,True,ECO00921
False,False,True,ECO00922
False,False,True,ECO00923
False,False,True,ECO00924
False,False,True,ECO00925
False,False,True,ECO00926
False,False,True,ECO00927
False,False,True,ECO00928
False,False,True,ECO00929
False,False,True,ECO00930
False,False,True,ECO00931
False,False,True,ECO00932
False,False,True,ECO00933
False,False,True,ECO00934
False,False,True,ECO00935
False,False,True,ECO00936
False,False,True,ECO00937
False,False,True,ECO00938
False,False,True,ECO00939
False,False,True,ECO00940
False,False,True,ECO00942
False,False,True,ECO00944
False,False,True,ECO00947
False,False,True,ECO00948
False,False,True,ECO00949
False,False,True,ECO00950
False,False,True,ECO00951
False,False,True,ECO00954
False,False,True,ECO00955
False,False,True,ECO00956
False,False,True,ECO00957
False,False,True,ECO00959
False,False,True,ECO00961
False,False,True,ECO00962
False,False,True,ECO00965
False,False,True,ECO00968
False,False,True,ECO00969
False,False,True,ECO00970
False,False,True,ECO00971
False,False,True,ECO00972
False,False,True,ECO00974
False,False,True,ECO00975
False,False,True,ECO00976
False,False,True,ECO00979
False,False,True,ECO00980
False,False,True,ECO00981
False,False,True,ECO00982
False,False,True,ECO00983
False,False,True,ECO00984
False,False,True,ECO00985
False,False,True,ECO00986
False,False,True,ECO00988
False,False,True,ECO00989
False,False,True,ECO00990
False,False,True,ECO00991
False,False,True,ECO00992
False,False,True,ECO00993
False,False,True,ECO00994
False,False,True,ECO00997
False,False,True,ECO00998
False,False,True,ECO00999
False,False,True,ECO01000
False,False,True,ECO01001
False,False,True,ECO01003
False,False,True,ECO01004
False,False,True,ECO01005
False,False,True,ECO01006
False,False,True,ECO01007
False,False,True,ECO01008
False,False,True,ECO01009
False,False,True,ECO01010
False,False,True,ECO01011
False,False,True,ECO01012
False,False,True,ECO01013
False,False,True,ECO01014
False,False,True,ECO01016
False,False,True,ECO01017
False,False,True,ECO01018
False,False,True,ECO01019
False,False,True,ECO01020
False,False,True,ECO01021
False,False,True,ECO01023
False,False,True,ECO01034
True,False,False,ECO01040
True,False,False,ECO01041
True,False,False,ECO01054
False,False,True,ECO01060
True,False,False,ECO01061
False,False,True,ECO01062
False,False,True,ECO01064
False,False,True,ECO01070
False,True,False,ECO01080
False,False,True,ECO01087
False,False,True,ECO01089
False,False,True,ECO01091
False,False,True,ECO01112
False,False,True,ECO01113
False,False,True,ECO01114
True,False,False,ECO01121
False,False,True,ECO01127
True,False,False,ECO01128
False,True,False,ECO01131
False,False,True,ECO01134
False,False,True,ECO01135
False,False,True,ECO01136
False,False,True,ECO01145
False,False,True,ECO01146
False,False,True,ECO01158
False,False,True,ECO01166
False,False,True,ECO01173
False,False,True,ECO01185
False,False,True,ECO01193
False,False,True,ECO01195
True,False,False,ECO01197
False,False,True,ECO01202
False,False,True,ECO01204
False,False,True,ECO01208
False,False,True,ECO01210
False,False,True,ECO01211
False,False,True,ECO01218
False,False,True,ECO01225
False,False,True,ECO01226
False,False,True,ECO01232
False,False,True,ECO01233
True,False,False,ECO01234
False,False,True,ECO01236
False,False,True,ECO01241
False,False,True,ECO01242
False,False,True,ECO01243
False,False,True,ECO01244
False,False,True,ECO01245
False,False,True,ECO01246
False,False,True,ECO01247
False,False,True,ECO01248
False,False,True,ECO01249
True,False,False,ECO01250
False,False,True,ECO01252
False,False,True,ECO01253
False,False,True,ECO01254
False,False,True,ECO01255
False,True,False,ECO01256
