name,mw3,emw3,mw3_exp,emw3_exp,mw3_ap,emw3_ap
"SJUSHR3065",12.1016,0.574353,8.41478,0.0537043,12.3088,0.0338545
"SJUSHR3066",10.5431,0.132020,10.3279,0.0432820,10.7056,0.00726795
"SJUSHR3067",11.5876,2.67655,8.29090,0.151340,12.1967,0.0282049
"SJUSHR3068",12.4635,1.57084,10.8735,0.0238181,12.7391,0.0617380
"SJUSHR3069",10.7267,0.200950,10.2360,0.0858347,11.0995,0.0105810
"SJUSHR307",10.2851,0.114246,9.76172,0.0348112,10.3501,0.0139685
"SJUSHR3071",12.3106,1.69286,0.00000,0.00000,12.5860,0.0719805
"SJUSHR3072",6.69162,0.00204004,6.69735,0.0201278,6.70109,0.000479698
"SJUSHR3073",11.2507,4.34166,9.25789,1.40881,12.2263,0.0309038
"SJUSHR3074",11.3729,0.308141,10.4004,0.0997322,11.6181,0.0243235
"SJUSHR3075",0.00000,0.00000,0.00000,0.00000,-NaN,NaN
"SJUSHR3076",0.00000,0.00000,9.07250,0.0252853,11.3004,0.0341377
"SJUSHR3077",10.8531,0.00765054,9.66958,0.0287811,-NaN,NaN
"SJUSHR3078",12.3790,0.507456,11.9049,0.0503790,12.4808,0.0795379
"SJUSHR3079",10.2417,0.228111,9.70040,0.0599005,10.3967,0.0131454
"SJUSHR308",7.33240,0.00740861,7.27888,0.0123634,7.32711,0.00169468
"SJUSHR3080",7.77839,0.0152754,7.74124,0.00122575,7.99382,0.000771523
"SJUSHR3081",12.5282,0.555567,9.16064,0.349259,12.6845,0.0532436
"SJUSHR3082",11.4645,0.748779,10.3181,0.0626554,11.8051,0.0256104
"SJUSHR3083",8.76835,0.0320024,8.76110,0.0158534,8.86937,0.00290108
"SJUSHR3084",11.1472,0.220730,8.14849,0.0838491,11.3169,0.0199203
"SJUSHR3085",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"SJUSHR3086",10.3034,0.194301,10.1074,0.0830348,10.5839,0.00935936
"SJUSHR3087",10.7475,0.505150,9.16138,0.255881,11.2957,0.0149899
"SJUSHR3088",0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
"SJUSHR3089",10.5808,15.5239,0.00000,0.00000,14.0994,0.205919
"SJUSHR309",7.14784,0.0142479,6.98149,0.152541,7.38316,0.000905991
